Year,monthly_avg_temp,Month
1950,-3.6819713,1
1950,1.316862,2
1950,4.568749,3
1950,9.167604,4
1950,14.5409,5
1950,19.105503,6
1950,22.71091,7
1950,21.834799,8
1950,17.032558,9
1950,9.283565,10
1950,5.189036,11
1950,2.4075344,12
1951,1.2524652,1
1951,3.3445816,2
1951,4.2724853,3
1951,8.376535,4
1951,13.755007,5
1951,17.268732,6
1951,18.822182,7
1951,20.13247,8
1951,16.911966,9
1951,8.29249,10
1951,7.066003,11
1951,2.0291438,12
1952,-1.2680454,1
1952,-0.700901,2
1952,2.7284617,3
1952,11.631496,4
1952,12.4827585,5
1952,17.678616,6
1952,20.810953,7
1952,22.073689,8
1952,15.372393,9
1952,9.99614,10
1952,3.7142339,11
1952,1.0666689,12
1953,-1.4794092,1
1953,-1.394488,2
1953,1.970412,3
1953,9.932784,4
1953,12.65799,5
1953,17.491545,6
1953,20.308863,7
1953,17.853062,8
1953,15.892502,9
1953,11.680707,10
1953,3.1567492,11
1953,0.44108322,12
1954,-6.0515304,1
1954,-5.2433095,2
1954,5.179371,3
1954,6.9979916,4
1954,12.433177,5
1954,18.729353,6
1954,18.125626,7
1954,18.643263,8
1954,16.531254,9
1954,9.060174,10
1954,3.857689,11
1954,1.8659319,12
1955,1.827043,1
1955,2.336881,2
1955,2.3450122,3
1955,6.04309,4
1955,13.178028,5
1955,16.660337,6
1955,18.403894,7
1955,16.852325,8
1955,14.179726,9
1955,9.893984,10
1955,3.5342195,11
1955,3.4271762,12
1956,0.44225886,1
1956,-8.762201,2
1956,0.25870037,3
1956,8.295216,4
1956,13.223253,5
1956,15.593257,6
1956,19.420746,7
1956,20.061476,8
1956,16.39052,9
1956,9.595625,10
1956,2.3672032,11
1956,-1.6254586,12
1957,-2.9234743,1
1957,3.3910656,2
1957,6.057591,3
1957,8.851775,4
1957,11.052434,5
1957,18.944263,6
1957,19.6422,7
1957,18.232803,8
1957,14.296967,9
1957,9.990008,10
1957,5.6677256,11
1957,0.07997632,12
1958,-1.610372,1
1958,3.3184705,2
1958,-0.3534108,3
1958,6.1876054,4
1958,16.510462,5
1958,16.660952,6
1958,20.032276,7
1958,19.890575,8
1958,14.694833,9
1958,10.29467,10
1958,6.2978005,11
1958,4.0804663,12
1959,-0.9359691,1
1959,-2.2761562,2
1959,7.617684,3
1959,9.428949,4
1959,13.319166,5
1959,16.127096,6
1959,19.22275,7
1959,17.453558,8
1959,13.25251,9
1959,8.35032,10
1959,5.3814516,11
1959,4.4678845,12
1960,-1.8203906,1
1960,1.3401524,2
1960,5.71594,3
1960,8.785142,4
1960,12.582843,5
1960,17.098015,6
1960,17.296762,7
1960,19.158264,8
1960,14.1372595,9
1960,12.356374,10
1960,7.430892,11
1960,4.0649986,12
1961,-1.0884356,1
1961,1.6516948,2
1961,6.1715894,3
1961,12.270122,4
1961,12.322724,5
1961,17.63976,6
1961,18.170677,7
1961,18.81321,8
1961,16.856194,9
1961,12.079671,10
1961,6.605582,11
1961,-0.11580173,12
