Godina, Mjesec, Predikcija temperature
2026, 1, 2.45
2026, 2, 2.03
2026, 3, 4.23
2026, 4, 7.95
2026, 5, 12.11
2026, 6, 16.83
2026, 7, 19.91
2026, 8, 20.30
2026, 9, 19.11
2026, 10, 15.39
2026, 11, 10.80
2026, 12, 4.61
2027, 1, 1.64
2027, 2, 1.73
2027, 3, 4.26
2027, 4, 7.73
2027, 5, 12.27
2027, 6, 16.57
2027, 7, 20.10
2027, 8, 20.79
2027, 9, 19.68
2027, 10, 16.06
2027, 11, 10.61
2027, 12, 5.01
2028, 1, 2.16
2028, 2, 2.05
2028, 3, 4.14
2028, 4, 7.49
2028, 5, 12.23
2028, 6, 16.86
2028, 7, 19.93
2028, 8, 20.61
2028, 9, 19.61
2028, 10, 16.00
2028, 11, 11.08
2028, 12, 5.18
2029, 1, 2.35
2029, 2, 1.92
2029, 3, 4.76
2029, 4, 7.94
2029, 5, 12.62
2029, 6, 17.00
2029, 7, 19.86
2029, 8, 20.74
2029, 9, 19.50
2029, 10, 15.96
2029, 11, 11.32
2029, 12, 5.23
2030, 1, 2.76
2030, 2, 2.25
2030, 3, 4.68
2030, 4, 8.22
2030, 5, 12.61
2030, 6, 17.00
2030, 7, 19.43
2030, 8, 20.48
2030, 9, 19.70
2030, 10, 16.11
2030, 11, 11.03
2030, 12, 4.96
2031, 1, 2.55
2031, 2, 2.34
2031, 3, 4.81
2031, 4, 8.20
2031, 5, 12.61
2031, 6, 17.22
2031, 7, 20.44
2031, 8, 21.01
2031, 9, 19.74
2031, 10, 15.46
2031, 11, 10.67
2031, 12, 4.94
2032, 1, 2.67
2032, 2, 2.59
2032, 3, 4.72
2032, 4, 8.40
2032, 5, 12.76
2032, 6, 17.62
2032, 7, 20.37
2032, 8, 20.92
2032, 9, 19.50
2032, 10, 15.49
2032, 11, 10.79
2032, 12, 5.25
2033, 1, 2.68
2033, 2, 2.60
2033, 3, 4.97
2033, 4, 8.71
2033, 5, 13.39
2033, 6, 17.60
2033, 7, 20.33
2033, 8, 20.68
2033, 9, 19.51
2033, 10, 15.50
2033, 11, 10.64
2033, 12, 4.97
2034, 1, 2.57
2034, 2, 2.63
2034, 3, 5.38
2034, 4, 9.13
2034, 5, 13.57
2034, 6, 17.82
2034, 7, 20.56
2034, 8, 21.02
2034, 9, 19.42
2034, 10, 15.00
2034, 11, 9.91
2034, 12, 4.57
2035, 1, 2.38
2035, 2, 2.55
2035, 3, 5.25
2035, 4, 8.86
2035, 5, 13.38
2035, 6, 17.75
2035, 7, 20.37
2035, 8, 20.71
2035, 9, 18.99
2035, 10, 14.83
2035, 11, 9.86
2035, 12, 4.41
2036, 1, 2.21
2036, 2, 2.38
2036, 3, 5.33
2036, 4, 9.15
2036, 5, 13.56
2036, 6, 17.88
2036, 7, 20.41
2036, 8, 20.81
2036, 9, 19.11
2036, 10, 14.80
2036, 11, 9.91
2036, 12, 4.42
2037, 1, 2.35
2037, 2, 2.51
2037, 3, 5.42
2037, 4, 9.20
2037, 5, 13.61
2037, 6, 17.96
2037, 7, 20.51
2037, 8, 20.81
2037, 9, 19.05
2037, 10, 14.69
2037, 11, 9.89
2037, 12, 4.47
2038, 1, 2.39
2038, 2, 2.60
2038, 3, 5.52
2038, 4, 9.39
2038, 5, 13.77
2038, 6, 18.10
2038, 7, 20.55
2038, 8, 20.75
2038, 9, 18.96
2038, 10, 14.63
2038, 11, 9.86
2038, 12, 4.46
2039, 1, 2.37
2039, 2, 2.66
2039, 3, 5.59
2039, 4, 9.47
2039, 5, 13.88
2039, 6, 18.09
2039, 7, 20.55
2039, 8, 20.73
2039, 9, 18.98
2039, 10, 14.60
2039, 11, 9.71
2039, 12, 4.31
2040, 1, 2.30
2040, 2, 2.73
2040, 3, 5.74
2040, 4, 9.59
2040, 5, 13.97
2040, 6, 18.21
2040, 7, 20.68
2040, 8, 20.81
2040, 9, 18.87
2040, 10, 14.44
2040, 11, 9.59
2040, 12, 4.31
2041, 1, 2.34
2041, 2, 2.74
2041, 3, 5.74
2041, 4, 9.62
2041, 5, 14.08
2041, 6, 18.33
2041, 7, 20.72
2041, 8, 20.73
2041, 9, 18.74
2041, 10, 14.34
2041, 11, 9.55
2041, 12, 4.27
2042, 1, 2.34
2042, 2, 2.77
2042, 3, 5.84
2042, 4, 9.74
2042, 5, 14.19
2042, 6, 18.40
2042, 7, 20.71
2042, 8, 20.71
2042, 9, 18.71
2042, 10, 14.28
2042, 11, 9.45
2042, 12, 4.13
2043, 1, 2.28
2043, 2, 2.80
2043, 3, 5.93
2043, 4, 9.85
2043, 5, 14.25
2043, 6, 18.44
2043, 7, 20.74
2043, 8, 20.71
2043, 9, 18.64
2043, 10, 14.15
2043, 11, 9.34
2043, 12, 4.08
2044, 1, 2.27
2044, 2, 2.80
2044, 3, 5.91
2044, 4, 9.85
2044, 5, 14.29
2044, 6, 18.51
2044, 7, 20.77
2044, 8, 20.66
2044, 9, 18.56
2044, 10, 14.08
2044, 11, 9.31
2044, 12, 4.05
2045, 1, 2.26
2045, 2, 2.83
2045, 3, 5.97
2045, 4, 9.95
2045, 5, 14.38
2045, 6, 18.55
2045, 7, 20.80
2045, 8, 20.67
2045, 9, 18.57
2045, 10, 14.05
2045, 11, 9.26
2045, 12, 4.04
